tenancy_id,tenant_id,customer_code,unit_id,status,is_alloted,purpose,allotment_basis,tender_number,tender_id,tender_description,duration_from,duration_to,rate,is_sor_applicable,sor_applicable_date,percent_rate_revision,amount_rate_revision,upfront_premium_amt,security_deposit_amt,total_security_deposit,date_of_agreement,remarks,justification,terms_and_condition,update_timestamp
10101131,3924,10101131,1,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,0,,,1937-01-13,,0,0,,0.00,0.00,0,0,0.00,,,,1978-03-09,2022-05-13 12:13:58.190000
10101132,3925,10101132,1,APPROVED,False,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,0,,,1932-04-27,,0,0,,0.00,0.00,0,0,0.00,,,,1978-03-09,2022-05-13 12:13:58.190000
10101133,3926,10101133,1,APPROVED,False,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,0,,,1933-01-26,,0,0,,0.00,0.00,0,0,0.00,,,,1978-03-09,2022-05-13 12:13:58.190000
10101134,3927,10101134,1,APPROVED,False,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,0,,,1963-02-15,,0,0,,0.00,0.00,0,0,0.00,,,,1978-03-09,2022-05-13 12:13:58.190000
10101135,3928,10101135,1,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,0,,,1978-03-01,,0,0,,0.00,0.00,0,0,0.00,,,,1978-03-09,2022-05-13 12:13:58.190000
10101136,3929,10101136,1,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,0,,,1940-06-25,,0,0,,0.00,0.00,0,0,0.00,,,,1978-03-09,2022-05-13 12:13:58.190000
10101137,3930,10101137,1,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,0,,,1942-11-17,,0,0,,0.00,0.00,0,0,0.00,,,,1978-03-09,2022-05-13 12:13:58.190000
10101138,3931,10101138,1,APPROVED,True,storage of non-hazardous goods & office in connection therewith,Other,0,,,1946-06-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10101144,3937,10101144,1,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,0,,,1965-06-15,,0,0,,0.00,0.00,0,0,0.00,,,,1978-03-09,2022-05-13 12:13:58.190000
10101145,3938,10101145,1,APPROVED,True,,Other,0,,,1965-05-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10101146,3939,10101146,1,APPROVED,False,,Other,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10101148,3941,10101148,1,APPROVED,False,,Other,0,,,1976-03-05,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10101201,3945,10101201,1,APPROVED,False,,Other,0,,,1961-12-07,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10101202,3946,10101202,1,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,0,,,1949-07-08,,0,0,,0.00,0.00,0,0,0.00,,,,1978-03-09,2022-05-13 12:13:58.190000
10101203,3947,10101203,1,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,0,,,1952-01-25,,0,0,,0.00,0.00,0,0,0.00,,,,1978-03-09,2022-05-13 12:13:58.190000
10101208,3951,10101208,1,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,0,,,1937-01-13,,0,0,,0.00,0.00,0,0,0.00,,,,1978-03-09,2022-05-13 12:13:58.190000
10101209,3952,10101209,1,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,0,,,1946-10-01,,0,0,,0.00,0.00,0,0,0.00,,,,1978-03-09,2022-05-13 12:13:58.190000
10101210,3953,10101210,1,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,0,,,1961-04-01,,0,0,,0.00,0.00,0,0,0.00,,,,1978-03-09,2022-05-13 12:13:58.190000
10101213,3956,10101213,1,APPROVED,True,,Other,0,,,1949-10-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10101237,3980,10101237,1,APPROVED,True,,Other,0,,,1965-08-28,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10101238,3981,10101238,1,APPROVED,True,,Other,0,,,1961-11-07,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10101311,4000,10101311,1,APPROVED,False,,Other,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10101312,4001,10101312,1,APPROVED,False,,Other,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10101313,4002,10101313,1,APPROVED,False,,Other,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10101314,4003,10101314,1,APPROVED,False,,Other,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10101315,4004,10101315,1,APPROVED,False,,Other,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10101316,4005,10101316,1,APPROVED,False,,Other,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10101319,4008,10101319,1,APPROVED,True,,Other,0,,,2005-09-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10101961,4025,10101961,1,APPROVED,True,,,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10103126,4036,10103126,1,APPROVED,False,,Other,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10104102,4041,10104102,1,APPROVED,False,,Other,0,,,1972-03-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10104103,4042,10104103,1,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,0,,,1985-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,1978-03-09,2022-05-13 12:13:58.190000
10104106,8090,10104106,1,APPROVED,True,,Other,0,,,2008-06-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10104903,4049,10104903,1,APPROVED,True,,,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10104910,4056,10104910,1,APPROVED,True,,,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10104968,4100,10104968,1,APPROVED,True,,,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10104969,4101,10104969,1,APPROVED,True,,,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10104970,4102,10104970,1,APPROVED,True,,,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10104971,4103,10104971,1,APPROVED,True,,,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10105104,4135,10105104,1,APPROVED,False,,Other,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10105109,4141,10105109,1,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,0,,,1965-03-05,,0,0,,0.00,0.00,0,0,0.00,,,,1978-03-09,2022-05-13 12:13:58.190000
10105113,4145,10105113,1,APPROVED,True,,Other,0,,,2003-10-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10105116,4148,10105116,1,APPROVED,False,,Other,0,,,1983-07-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10105117,4149,10105117,1,APPROVED,False,,Other,0,,,1960-07-27,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10105127,4159,10105127,1,APPROVED,False,,Other,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10105128,4160,10105128,1,APPROVED,False,,Other,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10105129,4161,10105129,1,APPROVED,False,,Other,0,,,1970-02-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10105130,4162,10105130,1,APPROVED,False,,Other,0,,,1959-06-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10105131,4163,10105131,1,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,0,,,1961-07-01,,0,0,,0.00,0.00,0,0,0.00,,,,1978-03-09,2022-05-13 12:13:58.190000
10105147,4179,10105147,1,APPROVED,False,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,0,,,1975-03-01,,0,0,,0.00,0.00,0,0,0.00,,,,1978-03-09,2022-05-13 12:13:58.190000
10105150,4182,10105150,1,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,0,,,1957-02-08,,0,0,,0.00,0.00,0,0,0.00,,,,1978-03-09,2022-05-13 12:13:58.190000
10105203,4185,10105203,1,APPROVED,True,,Other,0,,,1994-04-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10105205,4187,10105205,1,APPROVED,False,,Other,0,,,1970-11-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10105901,4200,10105901,1,APPROVED,True,,,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10105903,4202,10105903,1,APPROVED,True,,,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10105904,4203,10105904,1,APPROVED,True,,,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10105905,4204,10105905,1,APPROVED,True,,,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10105951,4205,10105951,1,APPROVED,True,,,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10105952,4206,10105952,1,APPROVED,True,,,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10105954,4208,10105954,1,APPROVED,True,,,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10201136,4246,10201136,2,APPROVED,False,,Other,0,,,2016-11-02,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10202102,4251,10202102,2,APPROVED,False,,Other,0,,,1969-08-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10202104,4253,10202104,2,APPROVED,False,,Other,0,,,1960-10-07,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10202114,4263,10202114,2,APPROVED,False,,Other,0,,,1963-06-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10202211,4310,10202211,2,APPROVED,False,,Other,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10202215,4314,10202215,2,APPROVED,False,,Other,0,,,1976-03-08,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10202217,4316,10202217,2,APPROVED,True,storage of non-hazardous goods & office in connection therewith,Other,0,,,1978-12-22,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10202219,4317,10202219,2,APPROVED,False,,Other,0,,,2004-03-17,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10203102,4325,10203102,2,APPROVED,True,,Other,0,,,1960-03-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10203104,4327,10203104,2,APPROVED,True,storage of non-hazardous goods & office in connection therewith,Other,0,,,1997-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10203105,4328,10203105,2,APPROVED,True,storage of non-hazardous goods & office in connection therewith,Other,0,,,2003-11-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10203111,4334,10203111,2,APPROVED,True,storage of non-hazardous goods & office in connection therewith,Other,0,,,1997-07-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10203126,4349,10203126,2,APPROVED,True,storage of non-hazardous goods & office in connection therewith,Other,0,,,1997-07-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10301101,4354,10301101,3,APPROVED,False,"For use as godowns for storage of foods grains and purposes indicental thereto & for storage of non-hazardous fertilisers, gift articles & electric substation.",Other,0,,,1961-12-15,,0,0,,0.00,0.00,0,0,0.00,,,,1978-03-09,2022-05-13 12:13:58.190000
10301102,4355,10301102,3,APPROVED,True,Any lawful user as may be permitted by MCGM in conformity with the DC regulations.,Other,0,,,1952-03-24,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
10301204,4407,10301204,3,APPROVED,False,,Other,0,,,1873-01-01,,0,0,,0.00,0.00,0,0,0.00,,,,,2022-05-13 12:13:58.190000
